YR,MN,Month_Part,avg_distance,avg_cost
2022,4,First Half,5.679323077938295,21.515559094583587
2022,5,First Half,6.249697852127242,21.921570348909114
2022,4,Second Half,5.800344707645977,21.428088376232783
2022,5,Second Half,7.906694182348757,22.771948777963715
2022,3,Second Half,5.556947478917816,21.120927430034417
2022,3,First Half,6.480491651211442,20.652292316598395
2022,2,Second Half,5.849460516243601,20.18769180439039
2022,6,First Half,6.315157336730177,22.466305309343248
2022,6,Second Half,6.174138574511356,22.331380641103525
2022,2,First Half,6.248888338463885,19.491979067237448
2022,1,Second Half,5.097880367275346,19.14882164234129
2022,1,First Half,5.576410377852007,19.903702637879007
